,ads_formula,sub_formula,total_AtomicRadius_mean,total_AtomicVolume_mean,total_AtomicWeight_mean,total_CovalentRadius_mean,total_Density_mean,total_DipolePolarizability_mean,total_ElectronAffinity_mean,total_Electronegativity_mean,total_FirstIonizationEnergy_mean,total_FusionEnthalpy_mean,total_GSenergy_pa_mean,total_GSestBCClatcnt_mean,total_GSestFCClatcnt_mean,total_GSvolume_pa_mean,total_HeatCapacityMolar_mean,total_LogThermalConductivity_mean,total_MendeleevNumber_mean,total_NUnfilled_mean,total_NValence_mean,total_NdUnfilled_mean,total_NdValence_mean,total_NfUnfilled_mean,total_NfValence_mean,total_NpUnfilled_mean,total_NpValence_mean,total_NsUnfilled_mean,total_NsValence_mean,total_Number_mean,total_Polarizability_mean,total_Row_mean,total_SpaceGroupNumber_mean,total_ThermalConductivity_mean,total_ZungerPP-r_sigma_mean,sub_AtomicRadius_mean,sub_AtomicVolume_mean,sub_AtomicWeight_mean,sub_CovalentRadius_mean,sub_Density_mean,sub_DipolePolarizability_mean,sub_ElectronAffinity_mean,sub_Electronegativity_mean,sub_FirstIonizationEnergy_mean,sub_FusionEnthalpy_mean,sub_GSenergy_pa_mean,sub_GSestBCClatcnt_mean,sub_GSestFCClatcnt_mean,sub_GSvolume_pa_mean,sub_HeatCapacityMolar_mean,sub_LogThermalConductivity_mean,sub_MendeleevNumber_mean,sub_NUnfilled_mean,sub_NValence_mean,sub_NdUnfilled_mean,sub_NdValence_mean,sub_NfUnfilled_mean,sub_NfValence_mean,sub_NpUnfilled_mean,sub_NpValence_mean,sub_NsUnfilled_mean,sub_NsValence_mean,sub_Number_mean,sub_Polarizability_mean,sub_Row_mean,sub_SecondIonizationEnergy_mean,sub_SpaceGroupNumber_mean,sub_ThermalConductivity_mean,sub_ZungerPP-r_p_mean,sub_ZungerPP-r_pi_mean,sub_ZungerPP-r_s_mean,sub_ZungerPP-r_sigma_mean,sub_n_ws^third_mean,sub_phi_mean,ads_AtomicRadius_mean,ads_AtomicVolume_mean,ads_AtomicWeight_mean,ads_CovalentRadius_mean,ads_Density_mean,ads_DipolePolarizability_mean,ads_ElectronAffinity_mean,ads_Electronegativity_mean,ads_FirstIonizationEnergy_mean,ads_FusionEnthalpy_mean,ads_GSenergy_pa_mean,ads_GSestBCClatcnt_mean,ads_GSestFCClatcnt_mean,ads_GSvolume_pa_mean,ads_HeatCapacityMolar_mean,ads_LogThermalConductivity_mean,ads_MendeleevNumber_mean,ads_NUnfilled_mean,ads_NValence_mean,ads_NdUnfilled_mean,ads_NdValence_mean,ads_NfUnfilled_mean,ads_NfValence_mean,ads_NpUnfilled_mean,ads_NpValence_mean,ads_NsUnfilled_mean,ads_NsValence_mean,ads_Number_mean,ads_Polarizability_mean,ads_Row_mean,ads_SpaceGroupNumber_mean,ads_ThermalConductivity_mean,ads_ZungerPP-r_sigma_mean,interface_AtomicRadius_mean,interface_AtomicVolume_mean,interface_AtomicWeight_mean,interface_CovalentRadius_mean,interface_Density_mean,interface_DipolePolarizability_mean,interface_ElectronAffinity_mean,interface_Electronegativity_mean,interface_FirstIonizationEnergy_mean,interface_FusionEnthalpy_mean,interface_GSenergy_pa_mean,interface_GSestBCClatcnt_mean,interface_GSestFCClatcnt_mean,interface_GSvolume_pa_mean,interface_HeatCapacityMolar_mean,interface_LogThermalConductivity_mean,interface_MendeleevNumber_mean,interface_NUnfilled_mean,interface_NValence_mean,interface_NdUnfilled_mean,interface_NdValence_mean,interface_NfUnfilled_mean,interface_NfValence_mean,interface_NpUnfilled_mean,interface_NpValence_mean,interface_NsUnfilled_mean,interface_NsValence_mean,interface_Number_mean,interface_Polarizability_mean,interface_Row_mean,interface_SpaceGroupNumber_mean,interface_ThermalConductivity_mean,interface_ZungerPP-r_sigma_mean,interface_ads_AtomicRadius_mean,interface_ads_AtomicVolume_mean,interface_ads_AtomicWeight_mean,interface_ads_CovalentRadius_mean,interface_ads_Density_mean,interface_ads_DipolePolarizability_mean,interface_ads_ElectronAffinity_mean,interface_ads_Electronegativity_mean,interface_ads_FirstIonizationEnergy_mean,interface_ads_FusionEnthalpy_mean,interface_ads_GSenergy_pa_mean,interface_ads_GSestBCClatcnt_mean,interface_ads_GSestFCClatcnt_mean,interface_ads_GSvolume_pa_mean,interface_ads_HeatCapacityMolar_mean,interface_ads_LogThermalConductivity_mean,interface_ads_MendeleevNumber_mean,interface_ads_NUnfilled_mean,interface_ads_NValence_mean,interface_ads_NdUnfilled_mean,interface_ads_NdValence_mean,interface_ads_NfUnfilled_mean,interface_ads_NfValence_mean,interface_ads_NpUnfilled_mean,interface_ads_NpValence_mean,interface_ads_NsUnfilled_mean,interface_ads_NsValence_mean,interface_ads_Number_mean,interface_ads_Polarizability_mean,interface_ads_Row_mean,interface_ads_SpaceGroupNumber_mean,interface_ads_ThermalConductivity_mean,interface_ads_ZungerPP-r_sigma_mean,interface_sub_AtomicRadius_mean,interface_sub_AtomicVolume_mean,interface_sub_AtomicWeight_mean,interface_sub_CovalentRadius_mean,interface_sub_Density_mean,interface_sub_DipolePolarizability_mean,interface_sub_ElectronAffinity_mean,interface_sub_Electronegativity_mean,interface_sub_FirstIonizationEnergy_mean,interface_sub_FusionEnthalpy_mean,interface_sub_GSenergy_pa_mean,interface_sub_GSestBCClatcnt_mean,interface_sub_GSestFCClatcnt_mean,interface_sub_GSvolume_pa_mean,interface_sub_HeatCapacityMolar_mean,interface_sub_LogThermalConductivity_mean,interface_sub_MendeleevNumber_mean,interface_sub_NUnfilled_mean,interface_sub_NValence_mean,interface_sub_NdUnfilled_mean,interface_sub_NdValence_mean,interface_sub_NfUnfilled_mean,interface_sub_NfValence_mean,interface_sub_NpUnfilled_mean,interface_sub_NpValence_mean,interface_sub_NsUnfilled_mean,interface_sub_NsValence_mean,interface_sub_Number_mean,interface_sub_Polarizability_mean,interface_sub_Row_mean,interface_sub_SecondIonizationEnergy_mean,interface_sub_SpaceGroupNumber_mean,interface_sub_ThermalConductivity_mean,interface_sub_ZungerPP-r_p_mean,interface_sub_ZungerPP-r_pi_mean,interface_sub_ZungerPP-r_s_mean,interface_sub_ZungerPP-r_sigma_mean,interface_sub_n_ws^third_mean,interface_sub_phi_mean,interface_ads_VdWRadius_mean,delta,misfit,vdw_height,vdw_width,bandgap,workfunction,charge,dipole,vdwgap_class,0.05,0.07,0.15,0.2
0,Ag2Br2,Ag,1.55,19.90366766,104.7610667,142.2222222,9671.111111,6.552222222,147.7111111,2.044444444,8.047071111,10.63166667,-2.634019313,3.273773388,4.124696003,17.79111111,30.94333333,2.238547655,68.33333333,1,11.66666667,0,10,0,0,0.111111111,0.555555556,0.888888889,1.111111111,45.66666667,6.552222222,4.888888889,207.1111111,382.2355556,2.244444444,1.6,17.07564795,107.8682,145,10490,6.99,125.6,1.93,7.57623,11.3,-2.76539356,3.196480506,4.027313074,16.33,25.35,2.633468456,65,1,11,0,10,0,0,0,0,1,1,47,6.99,5,21.47746,225,430,1.33,0.285,1.045,2.375,1.36,4.35,1.375,29.80173664,93.8861,132.5,6805,5.02,225.1,2.445,9.695015,8.2925,-2.174209449,3.544298475,4.465536255,22.905,50.52,0.856324851,80,1,14,0,10,0,0,0.5,2.5,0.5,1.5,41,5.02,4.5,144.5,215.06,1.7875,1.6,17.07564795,107.8682,145,10490,6.99,125.6,1.93,7.57623,11.3,-2.76539356,3.196480506,4.027313074,16.33,25.35,2.633468456,65,1,11,0,10,0,0,0,0,1,1,47,6.99,5,225,430,2.375,1.6,17.07564795,107.8682,145,10490,6.99,125.6,1.93,7.57623,11.3,-2.76539356,3.196480506,4.027313074,16.33,25.35,2.633468456,65,1,11,0,10,0,0,0,0,1,1,47,6.99,5,225,430,2.375,1.6,17.07564795,107.8682,145,10490,6.99,125.6,1.93,7.57623,11.3,-2.76539356,3.196480506,4.027313074,16.33,25.35,2.633468456,65,1,11,0,10,0,0,0,0,1,1,47,6.99,5,21.47746,225,430,1.33,0.285,1.045,2.375,1.36,4.35,1.72,2.162122788,0.006086722,1.688738458,0.678727722,1.8412,4.39839947,0.22799,0.492942374,1,1,1,1,1
1,Ag2Ca2Br6,Ag,1.555769231,21.00711224,102.0342462,143.3076923,9295.769231,7.256282051,143.8219231,2.013076923,8.008908462,10.49980769,-2.597540919,3.316391569,4.178391546,18.67192308,31.18073077,2.210572299,66.23076923,0.961538462,11.34615385,0,9.615384615,0,0,0.115384615,0.576923077,0.846153846,1.153846154,44.57692308,7.256282051,4.846153846,206.4230769,371.5523077,2.263461538,1.6,17.07564795,107.8682,145,10490,6.99,125.6,1.93,7.57623,11.3,-2.76539356,3.196480506,4.027313074,16.33,25.35,2.633468456,65,1,11,0,10,0,0,0,0,1,1,47,6.99,5,21.47746,225,430,1.33,0.285,1.045,2.375,1.36,4.35,1.37,37.51926225,77.53164,136.2,4280,8.374666666,220.354,2.362,9.826158,7.139,-1.892559828,3.820018032,4.81292113,28.508,55.6698,0.434408438,71.4,0.8,12.8,0,8,0,0,0.6,3,0.2,1.8,34.4,8.374666667,4.2,128.4,126.072,1.795,1.6,17.07564795,107.8682,145,10490,6.99,125.6,1.93,7.57623,11.3,-2.76539356,3.196480506,4.027313074,16.33,25.35,2.633468456,65,1,11,0,10,0,0,0,0,1,1,47,6.99,5,225,430,2.375,1.6,17.07564795,107.8682,145,10490,6.99,125.6,1.93,7.57623,11.3,-2.76539356,3.196480506,4.027313074,16.33,25.35,2.633468456,65,1,11,0,10,0,0,0,0,1,1,47,6.99,5,225,430,2.375,1.6,17.07564795,107.8682,145,10490,6.99,125.6,1.93,7.57623,11.3,-2.76539356,3.196480506,4.027313074,16.33,25.35,2.633468456,65,1,11,0,10,0,0,0,0,1,1,47,6.99,5,21.47746,225,430,1.33,0.285,1.045,2.375,1.36,4.35,1.72,2.130508236,0.021823709,1.964361214,0.965205767,3.197,4.39839947,0.267621,0.570168745,1,1,1,1,1
2,Ag2Ca2Cl6,Ag,1.538461538,2129.65856,96.90528462,141.2307692,8936.140077,7.155897436,146.6373077,2.036153846,8.142042692,10.25923077,-2.620780352,3.28951443,4.144528473,18.09701923,26.36446154,2.080211771,66.11538462,0.961538462,10.19230769,0,8.461538462,0,0,0.115384615,0.576923077,0.846153846,1.153846154,42.5,7.155897436,4.730769231,206.4230769,371.5394885,2.241538462,1.6,17.07564795,107.8682,145,10490,6.99,125.6,1.93,7.57623,11.3,-2.76539356,3.196480506,4.027313074,16.33,25.35,2.633468456,65,1,11,0,10,0,0,0,0,1,1,47,6.99,5,21.47746,225,430,1.33,0.285,1.045,2.375,1.36,4.35,1.28,11002.50679,50.86104,125.4,2409.9284,7.852666666,234.994,2.482,10.518456,5.888,-2.013404878,3.68025691,4.636833149,25.5185,30.6252,-0.243466305,70.8,0.8,6.8,0,2,0,0,0.6,3,0.2,1.8,23.6,7.852666667,3.6,128.4,126.00534,1.681,1.6,17.07564795,107.8682,145,10490,6.99,125.6,1.93,7.57623,11.3,-2.76539356,3.196480506,4.027313074,16.33,25.35,2.633468456,65,1,11,0,10,0,0,0,0,1,1,47,6.99,5,225,430,2.375,1.6,17.07564795,107.8682,145,10490,6.99,125.6,1.93,7.57623,11.3,-2.76539356,3.196480506,4.027313074,16.33,25.35,2.633468456,65,1,11,0,10,0,0,0,0,1,1,47,6.99,5,225,430,2.375,1.6,17.07564795,107.8682,145,10490,6.99,125.6,1.93,7.57623,11.3,-2.76539356,3.196480506,4.027313074,16.33,25.35,2.633468456,65,1,11,0,10,0,0,0,0,1,1,47,6.99,5,21.47746,225,430,1.33,0.285,1.045,2.375,1.36,4.35,1.72,2.088297149,0.042663155,1.945092598,0.952965222,3.587,4.39839947,0.3756,0.784364409,1,1,1,1,1
3,Ag2Cd2Br6,Ag,1.546153846,20.18568294,104.8162846,142.0769231,9568.846154,6.548076923,143.7307692,2.039615385,8.119703077,10.41019231,-2.553842637,3.284224694,4.137863823,17.96903846,31.18423077,2.198485442,68.65384615,0.961538462,11.73076923,0,10,0,0,0.115384615,0.576923077,0.846153846,1.153846154,45.65384615,6.548076923,4.884615385,205.2307692,367.5907692,2.233269231,1.6,17.07564795,107.8682,145,10490,6.99,125.6,1.93,7.57623,11.3,-2.76539356,3.196480506,4.027313074,16.33,25.35,2.633468456,65,1,11,0,10,0,0,0,0,1,1,47,6.99,5,21.47746,225,430,1.33,0.285,1.045,2.375,1.36,4.35,1.32,33.24782988,91.99824,129.8,5700,4.692,219.88,2.5,10.40229,6.673,-1.66532876,3.652750282,4.60217697,24.853,55.688,0.371556786,84,0.8,14.8,0,10,0,0,0.6,3,0.2,1.8,40,4.692,4.4,122.2,105.472,1.638,1.6,17.07564795,107.8682,145,10490,6.99,125.6,1.93,7.57623,11.3,-2.76539356,3.196480506,4.027313074,16.33,25.35,2.633468456,65,1,11,0,10,0,0,0,0,1,1,47,6.99,5,225,430,2.375,1.6,17.07564795,107.8682,145,10490,6.99,125.6,1.93,7.57623,11.3,-2.76539356,3.196480506,4.027313074,16.33,25.35,2.633468456,65,1,11,0,10,0,0,0,0,1,1,47,6.99,5,225,430,2.375,1.6,17.07564795,107.8682,145,10490,6.99,125.6,1.93,7.57623,11.3,-2.76539356,3.196480506,4.027313074,16.33,25.35,2.633468456,65,1,11,0,10,0,0,0,0,1,1,47,6.99,5,21.47746,225,430,1.33,0.285,1.045,2.375,1.36,4.35,1.72,2.141271892,0.035827286,1.98896427,0.926518194,2.3112,4.39839947,0.304159,0.651287118,1,1,1,1,1
4,Ag2Cd2Cl6,Ag,1.511904762,2631.637483,97.73949524,138.8095238,8904.268667,6.318571429,151.5333333,2.094285714,8.413934286,9.90047619,-2.532246,3.271839709,4.122259721,17.6475,26.61033333,1.93351931,69.38095238,0.952380952,10.47619048,0,8.571428571,0,0,0.142857143,0.714285714,0.80952381,1.19047619,42.76190476,6.318571429,4.714285714,200.5238095,352.7155571,2.172380952,1.6,17.07564795,107.8682,145,10490,6.99,125.6,1.93,7.57623,11.3,-2.76539356,3.196480506,4.027313074,16.33,25.35,2.633468456,65,1,11,0,10,0,0,0,0,1,1,47,6.99,5,21.47746,225,430,1.33,0.285,1.045,2.375,1.36,4.35,1.23,10998.23536,65.32764,119,3829.9284,4.17,234.52,2.62,11.094588,5.422,-1.78617381,3.512989159,4.426088989,21.8635,30.6434,-0.306317958,83.4,0.8,8.8,0,4,0,0,0.6,3,0.2,1.8,29.2,4.17,3.8,122.2,105.40534,1.524,1.6,17.07564795,107.8682,145,10490,6.99,125.6,1.93,7.57623,11.3,-2.76539356,3.196480506,4.027313074,16.33,25.35,2.633468456,65,1,11,0,10,0,0,0,0,1,1,47,6.99,5,225,430,2.375,1.6,17.07564795,107.8682,145,10490,6.99,125.6,1.93,7.57623,11.3,-2.76539356,3.196480506,4.027313074,16.33,25.35,2.633468456,65,1,11,0,10,0,0,0,0,1,1,47,6.99,5,225,430,2.375,1.6,17.07564795,107.8682,145,10490,6.99,125.6,1.93,7.57623,11.3,-2.76539356,3.196480506,4.027313074,16.33,25.35,2.633468456,65,1,11,0,10,0,0,0,0,1,1,47,6.99,5,21.47746,225,430,1.33,0.285,1.045,2.375,1.36,4.35,1.72,2.064008099,0.010000853,1.806808017,0.898714495,2.6919,4.39839947,0.797797,1.646659469,1,1,1,1,1
5,Ag2I2,Ag,1.577777778,19.91822679,109.9833411,144.3333333,9873.333333,6.771666667,144.4444444,2.011111111,7.895677778,10.90666667,-2.625394544,3.331818023,4.197827661,19.295,28.58111111,2.302221554,68.44444444,1,11.66666667,0,10,0,0,0.111111111,0.555555556,0.888888889,1.111111111,47.66666667,6.771666667,5,207.1111111,382.2721111,2.287222222,1.6,17.07564795,107.8682,145,10490,6.99,125.6,1.93,7.57623,11.3,-2.76539356,3.196480506,4.027313074,16.33,25.35,2.633468456,65,1,11,0,10,0,0,0,0,1,1,47,6.99,5,21.47746,225,430,1.33,0.285,1.045,2.375,1.36,4.35,1.5,29.86725271,117.386335,142,7715,6.0075,210.4,2.295,9.013745,9.53,-2.135397989,3.805499333,4.794628714,29.6725,39.89,1.142857399,80.5,1,14,0,10,0,0,0.5,2.5,0.5,1.5,50,6.0075,5,144.5,215.2245,1.98,1.5,29.86725271,117.386335,142,7715,6.0075,210.4,2.295,9.013745,9.53,-2.135397989,3.805499333,4.794628714,29.6725,39.89,1.142857399,80.5,1,14,0,10,0,0,0.5,2.5,0.5,1.5,50,6.0075,5,144.5,215.2245,1.98,1.4,42.65885747,126.90447,139,4940,5.025,295.2,2.66,10.45126,7.76,-1.505402418,4.414518159,5.561944354,43.015,54.43,-0.347753659,96,1,17,0,10,0,0,1,5,0,2,53,5.025,5,64,0.449,1.585,1.6,17.07564795,107.8682,145,10490,6.99,125.6,1.93,7.57623,11.3,-2.76539356,3.196480506,4.027313074,16.33,25.35,2.633468456,65,1,11,0,10,0,0,0,0,1,1,47,6.99,5,21.47746,225,430,1.33,0.285,1.045,2.375,1.36,4.35,1.98,2.906798012,0.010367593,2.550224922,1.102982253,2.0855,4.39839947,0.058505,0.170062218,1,1,1,1,1
6,Ag2Mg2Cl6,Ag,1.494444444,3067.489027,91.1566,137.6111111,8255.980111,6.398148148,155.8555556,2.100555556,8.478685833,9.793333333,-2.533949079,3.294755413,4.151131699,18.05569444,26.75644444,1.828936022,70,0.944444444,9.833333333,0,7.777777778,0,0,0.166666667,0.833333333,0.777777778,1.222222222,40.05555556,6.398148148,4.555555556,196.4444444,343.3348167,2.128333333,1.6,17.07564795,107.8682,145,10490,6.99,125.6,1.93,7.57623,11.3,-2.76539356,3.196480506,4.027313074,16.33,25.35,2.633468456,65,1,11,0,10,0,0,0,0,1,1,47,6.99,5,21.47746,225,430,1.33,0.285,1.045,2.375,1.36,4.35,1.22,10998.56381,47.70644,118.4,2447.5284,4.859333334,234.52,2.544,10.825071,5.876,-1.932193427,3.550270172,4.473060122,22.5425,30.4132,-0.262848308,83,0.8,6.8,0,2,0,0,0.6,3,0.2,1.8,22,4.859333333,3.4,122.2,118.00534,1.487,1.6,17.07564795,107.8682,145,10490,6.99,125.6,1.93,7.57623,11.3,-2.76539356,3.196480506,4.027313074,16.33,25.35,2.633468456,65,1,11,0,10,0,0,0,0,1,1,47,6.99,5,225,430,2.375,1.6,17.07564795,107.8682,145,10490,6.99,125.6,1.93,7.57623,11.3,-2.76539356,3.196480506,4.027313074,16.33,25.35,2.633468456,65,1,11,0,10,0,0,0,0,1,1,47,6.99,5,225,430,2.375,1.6,17.07564795,107.8682,145,10490,6.99,125.6,1.93,7.57623,11.3,-2.76539356,3.196480506,4.027313074,16.33,25.35,2.633468456,65,1,11,0,10,0,0,0,0,1,1,47,6.99,5,21.47746,225,430,1.33,0.285,1.045,2.375,1.36,4.35,1.72,1.988178021,0.04244831,1.532869311,0.764821184,3.5081,4.39839947,0.70809,1.407808975,1,1,1,1,1
7,Ag2Pb2Cl6,Ag,1.538461538,2129.174107,103.3330538,140.0769231,9312.678538,6.435192308,147.8961538,2.087307692,8.192176154,10.11438462,-2.685422661,3.27426849,4.125319792,17.72548077,26.31719231,2.05109785,68.96153846,1.115384615,11.19230769,0,8.846153846,0,0.538461538,0.269230769,0.653846154,0.846153846,1.153846154,44.88461538,6.435192308,4.807692308,206.4230769,365.1933346,2.206538462,1.6,17.07564795,107.8682,145,10490,6.99,125.6,1.93,7.57623,11.3,-2.76539356,3.196480506,4.027313074,16.33,25.35,2.633468456,65,1,11,0,10,0,0,0,0,1,1,47,6.99,5,21.47746,225,430,1.33,0.285,1.045,2.375,1.36,4.35,1.28,10999.98764,84.28544,119.4,4367.9284,4.105,241.54,2.748,10.77915,5.1348,-2.349544887,3.600978021,4.536948008,23.5865,30.3794,-0.394858696,85.6,1.6,12,0,4,0,2.8,1.4,3.4,0.2,1.8,36,4.105,4,128.4,93.00534,1.499,1.6,17.07564795,107.8682,145,10490,6.99,125.6,1.93,7.57623,11.3,-2.76539356,3.196480506,4.027313074,16.33,25.35,2.633468456,65,1,11,0,10,0,0,0,0,1,1,47,6.99,5,225,430,2.375,1.6,17.07564795,107.8682,145,10490,6.99,125.6,1.93,7.57623,11.3,-2.76539356,3.196480506,4.027313074,16.33,25.35,2.633468456,65,1,11,0,10,0,0,0,0,1,1,47,6.99,5,225,430,2.375,1.6,17.07564795,107.8682,145,10490,6.99,125.6,1.93,7.57623,11.3,-2.76539356,3.196480506,4.027313074,16.33,25.35,2.633468456,65,1,11,0,10,0,0,0,0,1,1,47,6.99,5,21.47746,225,430,1.33,0.285,1.045,2.375,1.36,4.35,1.72,2.055628483,0.02190315,1.84951441,0.936998097,3.0203,4.39839947,0.320022,0.657846338,1,1,1,1,1
8,Ag2Sn2Br6,Ag,1.542307692,20.39286601,105.0585538,141.8846154,9517.307692,6.538076923,147.8576923,2.05,8.056245385,10.44634615,-2.674953132,3.309683116,4.169939426,18.49942308,31.22153846,2.192304791,69.03846154,1.115384615,11.80769231,0,10,0,0,0.269230769,0.653846154,0.846153846,1.153846154,45.73076923,6.538076923,4.884615385,203.1923077,366.4369231,2.220384615,1.6,17.07564795,107.8682,145,10490,6.99,125.6,1.93,7.57623,11.3,-2.76539356,3.196480506,4.027313074,16.33,25.35,2.633468456,65,1,11,0,10,0,0,0,0,1,1,47,6.99,5,21.47746,225,430,1.33,0.285,1.045,2.375,1.36,4.35,1.3,34.32518184,93.25804,128.8,5432,4.64,241.34,2.554,10.07231,6.861,-2.295103333,3.78513408,4.768970104,27.611,55.882,0.339417399,86,1.6,15.2,0,10,0,0,1.4,3.4,0.2,1.8,40.4,4.64,4.4,111.6,99.472,1.571,1.6,17.07564795,107.8682,145,10490,6.99,125.6,1.93,7.57623,11.3,-2.76539356,3.196480506,4.027313074,16.33,25.35,2.633468456,65,1,11,0,10,0,0,0,0,1,1,47,6.99,5,225,430,2.375,1.6,17.07564795,107.8682,145,10490,6.99,125.6,1.93,7.57623,11.3,-2.76539356,3.196480506,4.027313074,16.33,25.35,2.633468456,65,1,11,0,10,0,0,0,0,1,1,47,6.99,5,225,430,2.375,1.6,17.07564795,107.8682,145,10490,6.99,125.6,1.93,7.57623,11.3,-2.76539356,3.196480506,4.027313074,16.33,25.35,2.633468456,65,1,11,0,10,0,0,0,0,1,1,47,6.99,5,21.47746,225,430,1.33,0.285,1.045,2.375,1.36,4.35,1.72,2.096447478,0.012264912,1.860526359,0.932482075,2.2683,4.39839947,0.249987,0.524084616,1,1,1,1,1
9,AgAlP2S6,Ag,1.448529412,19.49744534,87.58894302,135,8245.764706,6.065,133.1323529,2.050588235,8.191910529,10.01811765,-3.184252368,3.310974679,4.171566693,18.37034489,24.75876471,1.847768425,70.35294118,1.411764706,9.529411765,0,7.352941176,0,0,0.676470588,0.911764706,0.735294118,1.264705882,38.64705882,6.065,4.470588235,184.5294118,323.1382941,2.062647059,1.6,17.07564795,107.8682,145,10490,6.99,125.6,1.93,7.57623,11.3,-2.76539356,3.196480506,4.027313074,16.33,25.35,2.633468456,65,1,11,0,10,0,0,0,0,1,1,47,6.99,5,21.47746,225,430,1.33,0.285,1.045,2.375,1.36,4.35,1.085,25.30975909,38.91872626,111,2859.6,3.845,151.21,2.34,9.6695438,6.9416,-4.189513508,3.585760694,4.517775378,23.26717262,23.3398,-0.037911651,83.2,2.4,6,0,1,0,0,2.3,3.1,0.1,1.9,18.6,3.845,3.2,87.4,66.6702,1.313,1.3,22.12109687,69.9666,125,6225,4.945,162.8,2.255,8.96812,6.5105,-3.431305139,3.459382531,4.358548869,21.0584375,24.025,0.972611159,76.5,1.5,8.5,0,5,0,0,1,2,0.5,1.5,31.5,4.945,4,147.5,215.1025,1.7375,1,27.16654579,32.065,105,1960,2.9,200,2.58,10.36001,1.721,-4.097216719,3.722284555,4.689784664,25.786875,22.7,-0.688246139,88,2,6,0,0,0,0,2,4,0,2,16,2.9,3,70,0.205,1.1,1.6,17.07564795,107.8682,145,10490,6.99,125.6,1.93,7.57623,11.3,-2.76539356,3.196480506,4.027313074,16.33,25.35,2.633468456,65,1,11,0,10,0,0,0,0,1,1,47,6.99,5,21.47746,225,430,1.33,0.285,1.045,2.375,1.36,4.35,1.8,2.805428162,0.017007708,2.308313596,1.036744791,2.0159,4.39839947,0.090457,0.253770615,1,1,1,1,1
10,AgAlP2Se6,Ag,1.475,19.50490278,95.86453125,137.6470588,8750.294118,6.218529412,132.25,2.045294118,8.084683471,10.895,-3.073706814,3.312103112,4.172988429,18.39383754,25.22870588,1.919106569,70.52941176,1.411764706,11.29411765,0,9.117647059,0,0,0.676470588,0.911764706,0.735294118,1.264705882,41.82352941,6.218529412,4.647058824,174.6470588,323.1938824,2.095294118,1.6,17.07564795,107.8682,145,10490,6.99,125.6,1.93,7.57623,11.3,-2.76539356,3.196480506,4.027313074,16.33,25.35,2.633468456,65,1,11,0,10,0,0,0,0,1,1,47,6.99,5,21.47746,225,430,1.33,0.285,1.045,2.375,1.36,4.35,1.175,25.33511439,67.05572626,120,4575,4.367,148.21,2.322,9.3049718,9.923,-3.813658623,3.589597365,4.522609281,23.34704762,24.9376,0.204638039,83.8,2.4,12,0,7,0,0,2.3,3.1,0.1,1.9,29.4,4.367,3.8,53.8,66.8592,1.424,1.375,22.14222629,93.4141,132.5,7654.5,5.38,160.3,2.24,8.66431,8.995,-3.118092735,3.462579757,4.362577122,21.125,25.3565,1.1747359,77,1.5,13.5,0,10,0,0,1,2,0.5,1.5,40.5,5.38,4.5,119.5,215.26,1.83,1.15,27.20880463,78.96,120,4819,3.77,195,2.55,9.75239,6.69,-3.47079191,3.728679007,4.697841169,25.92,25.363,-0.283996656,89,2,16,0,10,0,0,2,4,0,2,34,3.77,4,14,0.52,1.285,1.6,17.07564795,107.8682,145,10490,6.99,125.6,1.93,7.57623,11.3,-2.76539356,3.196480506,4.027313074,16.33,25.35,2.633468456,65,1,11,0,10,0,0,0,0,1,1,47,6.99,5,21.47746,225,430,1.33,0.285,1.045,2.375,1.36,4.35,1.9,2.780009096,0.044569105,2.040098339,0.926600776,1.4178,4.39839947,0.058331,0.162160711,1,1,1,1,1
